Head,Neck,Right Shoulder,Right Elbow,Right Wrist,Left Shoulder,Left Elbow,Left Wrist,Right Hip,Right Knee,Right Ankle,Left Hip,Left Knee,Left Ankle,Chest
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 229)","(375, 156)","(375, 187)","(360, 229)","(375, 229)","(360, 292)","(360, 354)","(375, 229)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 229)","(375, 156)","(375, 187)","(360, 229)","(375, 229)","(360, 292)","(360, 354)","(375, 229)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 229)","(375, 156)","(375, 187)","(360, 229)","(375, 229)","(360, 292)","(375, 354)","(375, 229)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 240)","(375, 156)","(375, 187)","(360, 229)","(375, 229)","(360, 292)","(375, 354)","(375, 229)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 229)","(375, 156)","(375, 187)","(360, 229)","(375, 229)","(360, 292)","(360, 354)","(375, 229)","(360, 292)","(360, 344)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 229)","(375, 156)","(375, 187)","(360, 229)","(375, 229)","(360, 292)","(375, 354)","(360, 240)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(360, 198)","(360, 229)","(360, 156)","(375, 187)","(360, 229)","(360, 240)","(360, 292)","(360, 354)","(344, 240)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 187)","(360, 229)","(360, 156)","(360, 187)","(360, 229)","(360, 240)","(360, 292)","(360, 354)","(344, 240)","(360, 302)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 187)","(360, 229)","(360, 156)","(360, 187)","(360, 229)","(360, 240)","(360, 292)","(360, 354)","(344, 240)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 187)","(360, 229)","(375, 156)","(360, 187)","(360, 229)","(360, 240)","(360, 292)","(375, 354)","(344, 229)","(360, 292)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 187)","(360, 229)","(375, 156)","(375, 187)","(360, 229)","(360, 240)","(360, 292)","(360, 354)","(344, 240)","(360, 302)","(360, 354)","(375, 198)"
"(375, 104)","(375, 146)","(375, 156)","(375, 198)","(360, 229)","(375, 156)","(375, 187)","(360, 240)","(375, 229)","(360, 292)","(360, 354)","(360, 229)","(360, 292)","(360, 354)","(375, 198)"
