,Head x,Neck x,Right Shoulder x,Right Elbow x,Right Wrist x,Left Shoulder x,Left Elbow x,Left Wrist x,Right Hip x,Right Knee x,Right Ankle x,Left Hip x,Left Knee x,Left Ankle x,Chest x,Head y,Neck y,Right Shoulder y,Right Elbow y,Right Wrist y,Left Shoulder y,Left Elbow y,Left Wrist y,Right Hip y,Right Knee y,Right Ankle y,Left Hip y,Left Knee y,Left Ankle y,Chest y
0,360.0,360.0,360.0,391.0,391.0,360.0,375.0,375.0,344.0,344.0,344.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
1,360.0,360.0,360.0,391.0,406.0,360.0,375.0,375.0,344.0,344.0,344.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,219.0,292.0,344.0,177.0
2,360.0,360.0,360.0,391.0,406.0,360.0,375.0,375.0,344.0,344.0,344.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,219.0,292.0,344.0,187.0
3,360.0,360.0,360.0,391.0,391.0,360.0,375.0,375.0,360.0,344.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,229.0,292.0,344.0,177.0
4,360.0,360.0,360.0,391.0,406.0,360.0,375.0,375.0,360.0,344.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,219.0,292.0,344.0,177.0
5,360.0,360.0,360.0,391.0,406.0,360.0,375.0,375.0,360.0,344.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,229.0,292.0,344.0,177.0
6,360.0,360.0,360.0,391.0,406.0,360.0,375.0,375.0,360.0,344.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,229.0,292.0,344.0,177.0
7,360.0,360.0,360.0,391.0,391.0,360.0,375.0,375.0,360.0,344.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,166.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
8,360.0,360.0,360.0,391.0,391.0,360.0,375.0,375.0,360.0,344.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,156.0,135.0,177.0,146.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
9,360.0,360.0,360.0,391.0,391.0,360.0,375.0,375.0,344.0,360.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,135.0,135.0,177.0,135.0,229.0,302.0,375.0,229.0,292.0,344.0,187.0
10,360.0,360.0,360.0,391.0,375.0,360.0,375.0,375.0,344.0,360.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,125.0,135.0,177.0,135.0,229.0,302.0,375.0,229.0,292.0,344.0,187.0
11,360.0,360.0,360.0,391.0,391.0,360.0,375.0,375.0,344.0,360.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,146.0,135.0,177.0,135.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
12,360.0,360.0,360.0,391.0,391.0,360.0,360.0,391.0,344.0,360.0,360.0,344.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,146.0,135.0,166.0,146.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
13,360.0,360.0,375.0,391.0,391.0,360.0,360.0,391.0,344.0,360.0,360.0,328.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,156.0,135.0,177.0,146.0,229.0,302.0,375.0,229.0,292.0,344.0,187.0
14,360.0,360.0,375.0,391.0,391.0,360.0,360.0,391.0,344.0,360.0,360.0,328.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,177.0,146.0,229.0,302.0,375.0,229.0,292.0,344.0,187.0
15,360.0,360.0,375.0,391.0,391.0,360.0,360.0,391.0,344.0,360.0,360.0,328.0,344.0,328.0,360.0,83.0,125.0,135.0,177.0,166.0,135.0,166.0,156.0,229.0,302.0,375.0,229.0,292.0,344.0,187.0
16,360.0,360.0,375.0,406.0,391.0,360.0,360.0,391.0,344.0,360.0,360.0,328.0,344.0,328.0,360.0,83.0,125.0,146.0,177.0,166.0,146.0,177.0,156.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
17,360.0,360.0,375.0,391.0,391.0,360.0,360.0,360.0,344.0,360.0,360.0,328.0,344.0,328.0,360.0,83.0,135.0,146.0,177.0,166.0,146.0,177.0,208.0,229.0,292.0,375.0,229.0,292.0,344.0,187.0
18,360.0,375.0,375.0,391.0,375.0,360.0,391.0,375.0,344.0,360.0,360.0,328.0,344.0,328.0,360.0,83.0,177.0,187.0,177.0,135.0,198.0,177.0,135.0,229.0,292.0,375.0,229.0,292.0,344.0,208.0
19,375.0,344.0,375.0,406.0,375.0,375.0,406.0,375.0,328.0,375.0,360.0,328.0,344.0,328.0,360.0,93.0,135.0,156.0,187.0,135.0,146.0,187.0,135.0,229.0,292.0,375.0,229.0,292.0,344.0,198.0
20,375.0,360.0,375.0,406.0,375.0,344.0,360.0,391.0,328.0,375.0,360.0,328.0,344.0,328.0,344.0,104.0,146.0,156.0,198.0,146.0,156.0,187.0,146.0,240.0,292.0,375.0,229.0,292.0,344.0,198.0
21,375.0,360.0,375.0,406.0,375.0,375.0,406.0,391.0,328.0,375.0,360.0,328.0,344.0,328.0,344.0,104.0,146.0,187.0,198.0,156.0,156.0,198.0,156.0,240.0,292.0,375.0,240.0,292.0,333.0,208.0
22,375.0,360.0,375.0,406.0,375.0,344.0,344.0,391.0,328.0,375.0,360.0,328.0,344.0,328.0,344.0,114.0,156.0,166.0,208.0,208.0,166.0,198.0,156.0,240.0,302.0,375.0,240.0,292.0,344.0,208.0
23,375.0,375.0,360.0,406.0,375.0,375.0,406.0,391.0,328.0,375.0,360.0,328.0,344.0,328.0,344.0,114.0,187.0,166.0,208.0,208.0,177.0,219.0,156.0,240.0,302.0,375.0,240.0,292.0,344.0,219.0
24,375.0,360.0,344.0,406.0,360.0,375.0,422.0,391.0,328.0,375.0,360.0,344.0,344.0,328.0,344.0,125.0,166.0,187.0,219.0,166.0,177.0,219.0,166.0,250.0,302.0,375.0,250.0,292.0,344.0,219.0
25,375.0,375.0,344.0,406.0,391.0,375.0,406.0,375.0,328.0,375.0,360.0,328.0,344.0,328.0,344.0,135.0,177.0,187.0,219.0,219.0,187.0,219.0,177.0,250.0,302.0,375.0,250.0,302.0,333.0,219.0
26,375.0,360.0,344.0,406.0,360.0,375.0,406.0,391.0,313.0,375.0,360.0,313.0,344.0,328.0,344.0,135.0,177.0,187.0,229.0,177.0,187.0,229.0,177.0,260.0,302.0,375.0,260.0,302.0,333.0,229.0
27,375.0,360.0,344.0,375.0,375.0,375.0,422.0,391.0,328.0,375.0,360.0,328.0,360.0,328.0,344.0,146.0,187.0,198.0,219.0,187.0,198.0,229.0,187.0,260.0,302.0,375.0,260.0,292.0,333.0,229.0
28,375.0,375.0,375.0,422.0,375.0,360.0,406.0,391.0,328.0,375.0,360.0,313.0,344.0,328.0,344.0,146.0,187.0,198.0,240.0,187.0,198.0,240.0,198.0,271.0,302.0,375.0,271.0,302.0,333.0,229.0
29,375.0,360.0,344.0,422.0,375.0,375.0,406.0,391.0,313.0,375.0,360.0,328.0,375.0,328.0,344.0,156.0,198.0,208.0,240.0,198.0,208.0,240.0,198.0,271.0,302.0,375.0,271.0,302.0,333.0,240.0
